Main,Office ID,"Office Name",Web Address,Fax,"Mail Address 1","Mail City",Mail State,Mail Zip Code
7067552335,361,"LNH REALTY, LLC",www.LNHRealty.com,7067552337,"3458 Peach Orchard Rd.","Augusta",GA,30906
8032792013,362,"NBR ENTERPRISES INC, PASCOVA REALTY",,8034414184,"37 LAKE HARTWELL DR","NORTH AUGUSTA",GA,29841
7063734324,363,"LEE CANNON REALTY COMPANY, LLC",www.leecannonrealtyco.com,7068549529,"2288 Broad Street","Augusta",GA,30904
7067227820,364,"MAXWELL APPRAISAL GROUP",,7067227815,"753 BROAD ST SUITE 502","AUGUSTA",GA,30901
7063644204,365,"KING'S SPORT REALTY",,0,"P.O. Box 5850","Aiken",SC,29804
7069516156,366,"PYRAMIDS REALTY OF AUGUSTA",www.movemetoaugusta.com,7068690882,"406 SANTA ANNA TR","MARTINEZ",GA,30907
8036372227,367,"PETTIGREW PROPERTIES, LLC",,8036372228,"P.O Box 337","Edgefield",SC,29824
7063399999,368,"MICHAELANDSTEWART.COM CORP.",www.michaelandstewart.com,7065476884,"2266 STAPLETON MILL POND ROAD","STAPLETON",GA,30823
7068697313,369,"WARD REALTY LLC",,8663792026,"815 BROOKFIELD PKWY","MARTINEZ",GA,30907
7067310984,370,"HARRISON APPRAISAL SERVICES",,7067310984,"3007 PINE NEEDLE ROAD, #207","AUGUSTA",GA,30909
4075407718,372,"CNL SPECIALTY REAL ESTATE SERVICES",,4075407750,"420 S. ORANGE AVENUE, SUITE 950","ORLANDO",FL,32801
7064498290,373,"NORTHEAST GEORGIA APPRAISALS",,0,"115 OAKWOOD DR","HARLEM",GA,30814
8004543422,374,"100% REAL ESTATE INC.",WWW.100REO.COM,8882035905,"1145 W HWY 80 Suite 1","POOLER",GA,31322
7064340247,375,"MAXSELL REAL ESTATE, LLC",,6786691962,"3221 S CHEROKEE LANE SUITE 1820","WOODSTOCK",GA,30188
7067999494,376,"RIVER REALTY",,8032795391,"PO BOX 7391","NORTH AUGUSTA",SC,29861
7069226390,377,"BRIDGES REALTY LLC",www.MyAugustaDreamHome.com,7069226391,"3540 WHEELER RD","AUGUSTA",GA,30909
8036130333,378,"MIKE REED & ASSOCIATES",,0,"113 FIORD","NORTH AUGUSTA",SC,29841
7069515367,379,"DIANNA  BRENTNELL REALTY, LLC",,0,"619 MCZILKEY DRIVE","APPLING",GA,30802
7062840701,380,"SOUTHERN LIVING REALTY OF GEORGIA, LLC",,0,"1229 AUGUSTA WEST PARKWAY","AUGUSTA",GA,30909
7066215002,381,"FIRST HOME REALTY",www.livebigforless.net,8663981924,"511 CARRIAGE WALK CT","STONE MOUNTAIN",GA,30087
7069511405,382,"MORETZ & ASSOCIATES REALTY",www.moretzrealty.com,7067389655,"1021 TALCOT STREET","AUGUSTA",GA,30901
7068314186,383,"SOUTHERN DREAM HOME REAL ESTATE",,7067983950,"PO BOX 5476","AUGUSTA",GA,30906
7063944766,384,"BGALLOWAY PROPERTIES LLC",gallowayproperties.com,0,"5094 BRYANT COVE RD","EVANS",GA,30809
7065892459,386,"INTERNATIONAL MIS, INC",,0,"1065 WALTONS PASS","EVANS",GA,30809
7709043571,387,"ATLANTA NEW HOMES DIRECTORY",,7709043580,"","",,
8035075031,388,"OPEN DOORS REAL ESTATE COMPANY, LLC",,0,"","",,
7605477633,389,"CORNERSTONE APPRAISAL",,7602955691,"3990 Sherbourne Drive","Oceanside",CA,92056-3304
7062102646,390,"MORGAN SMITH REALTY",www.MSRIhomes.com,8883814007,"119 DAVIS ROAD SUITE 5C","AUGUSTA",GA,30907
7065135842,391,"ACTION REALESTATE COMPANY",,7067907397,"3906 BOWEN DR","HEPHZIBAH",GA,30815
7064968031,392,"MIKE VICKREY & ASSOCIATES INC",,8778329731,"601 N BELAIR SQ","EVANS",GA,30809
7062843024,393,"TERESA CALLAHAN PROPERTY MANAGEMENT & REALTY SERVI",,7065561084,"5349 MASON RD","HARLEM",GA,30814
7067990873,395,"PATTI CORNETTE & ASSOCIATES LLC",,0,"7007 EVANS TOWN CENTER BLVD","EVANS",GA,30809
7622331080,397,"MARKET HOUSE REALTY, LLC",www.MarketHouseRealty.com,0,"4115 COLUMBIA RD","MARTINEZ",GA,30907
7063733060,398,"SANDRA NEGRON REALTY, LLC",,0,"5241 WRIGHTSBORO RD","GROVETOWN",GA,30813
7068400594,399,"BURKETT REAL ESTATE GROUP",,0,"3540 WHEELER RD","AUGUSTA",GA,30909
7062845851,400,"GOLDMAN PROPERTIES CSRA LLC",,0,"2825 WASHINGTON RD","AUGUSTA",GA,30909
7065233535,401,"TINDALL REALTY, LLC",www.homesaboveaugusta.com,0,"4316 WASHINGTON RD","EVANS",GA,30813
7068361620,402,"NAN SHERRILL REALTY",,0,"5196 N TUBMAN ROAD","APPLING",GA,30802
7069229046,403,"AUGUSTA PARTNERS PROPERTY MANAGEMENT",,7068683782,"3633 WHEELER RD SUITE 140","AUGUSTA",GA,30909
6105894560,404,"HOUSEPAD",,0,"1500 CONRAD WEISER PKY","WOMELSDORF",PA,19567
7068686300,405,"REGIONS MORTGAGE",,0,"","",,
7068635404,406,"ARROW EXTERMINATORS",,0,"","",,
7068632000,407,"QUEENSBOROUGH NATIONAL BANK & TRUST",,0,"","",,
7068682200,408,"CSRA CREDIT UNION",,0,"","",,
7068236222,409,"MERCHANTS CREDIT BUREAU, INC",,7709999999,"955 Greene St","Augusta",GA,309012231
7068632255,410,"KLOSINKI OVERSTREET LLP",,0,"","",,
7067224818,411,"THE INSURANCE CENTER",,0,"1499 Ellis Street","Augusta",GA,30901
0,412,"DONALD H. BAILIE AGENCY",,0,"","",,
7068600797,413,"Gerald Hargrove Inspection",,0,"5308 Meadowlark Lane","Grovetown",GA,30813
7064474750,414,"AUGUSTA FIRST BANK AND TRUST",,0,"","",,
7068216000,415,"FIRST BANK MORTGAGE",,0,"","",,
7708604200,416,"AUGUSTA MORTGAGE",,7709999999,"237 Davis Rd","Augusta",GA,309072486
7067386990,417,"GEORGIA BANK AND TRUST",,0,"","",GA,
0,418,"SCANA",,0,"","",,
7068233278,419,"AUGUSTA CHRONICLE/TAC MEDIA",,7069999999,"PO Box","Augusta",GA,30903
7063731200,421,"RHODES PORTER REALTY GROUP",www.rhodes-porter.com,0,"754 TRIPPS CT","AUGUSTA",GA,30909
7064329273,422,"A NEW SOURCE REALTY AND RENTALS LLC",www.anewsourcerealtyandrentals.com,0,"3062 DAMACUS RD","AUGUSTA",GA,30909
6784171415,423,"HERA REALTY INC",,0,"2444 DULUTH HIGHWAY STE 203","DULUTH",GA,30097
7067510731,424,"MYWAY Realty International",,7067510741,"P.O. Box 15574","Augusta",GA,30919
7063832994,425,"TRANSWORLD BUSINESS ADVISORS",,7063832994,"3604 Wheeler Rd.","Augusta",Ga,30909
7068291008,426,"AUSTIN APPRAISAL",,0,"1335 Loan Oak Road","Grovetown",GA,30813
7067223771,427,"BAILEY LAND COMPANY, LLC",,7062623771,"3540 Wheeler Rd, Suite 113","Augusta",Ga,30909
7069451866,428,"NORRIS & NORRIS PROPERTIES LLC",Www.norrisandnorrisproperties.com,0,"4623 Crested Butle Rd","Augusta",GA,30909
7064962017,429,"RENASCENCE INVESTMENTS",,7062436397,"2664 Tobacco Road","Hephzibah",GA,30815
0,430,"CENTURY 21 RESULTS REALTY SERVICES",,0,"2209 Sharon Road","Cumming",GA,30041
7703211350,431,"RASMUS REAL ESTATE",,7703211277,"400 Galleria Parkway","Atlanta",Ga,30339
7067993657,432,"AUGUSTA APPRAISAL CO, LLC",,7063641176,"3540 Wheeler Rd, Suite 209","Augusta",Ga,30909
0,433,"ZIP REALTY",,0,"2000 Powell St, Ste. 300","Emeryville",CA,94608
7063995127,434,"KEY REALTY PARTNERS, LLC",,0,"2909 DEANS BRIDGE RD.","AUGUSTA",GA,30906
7067374401,435,"United Properties",,7067373045,"1287 Marks Church Rd Suite B","Augusta",GA,30909-2497
4044451806,436,"AMERICAN HOMES 4 RENT MANAGEMENT GA LLC",americanhomes4rent.com,0,"5 CONCOURSE PARKWAY","Atlanta",Ga,30328
7046512564,437,"BRAD KROLL & ASSOCIATES",,7048460323,"307 N. Sandhills Lane","Evans",Ge,30809
0,438,"PAUL E PETERSEN REAL ESTATE CO",,0,"","",,
7068363797,439,"AUGUSTA CORPORATE HOUSING & REAL ESTATE COMPANY",www.AugustaCorporateHousing.com,7067333617,"PO BOX 1413","AUGUSTA",GA,30903
7069229292,440,"TRUE ADVANTAGE HOMES",remaxtrueadvantage.com,7063640897,"","",,
8036636848,441,"REWARD REALTY",www.Reward-Homes.com,0,"PO BOX 90","GRANITTEVILLE",SC,29829
6787106100,442,"ERA ATLANTIC REALTY",,0,"","",,
7066510075,443,"CROWEL & CO., INC.",,7068556744,"924 STEVENS CREEK RD","AUGUSTA",GA,30907
9126022244,444,"HOME BUYERS MARKETING II, INC.",,8888956997,"","",,
7068339769,445,"RESERVE REALTY GROUP, LLC",,0,"5314 HEREFORD FARM ROAD","EVANS",GA,30809
7706053082,446,"SAVANNAH LAKES REALTY",,8643918607,"1230 SC HWY 7","MCCORMICK",SC,29835
